"Reference","Value","Footprint","Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","MPN","JLC_MPN"
"BT2","Battery_Cell","0conrads:MY-2032-08","","","","","","C964831 "
"BZ1","Buzzer","0conrads:GSC1230YB-3V4000","","","","","SMT-1341-T-HT-R ","C255333"
"C3","1u","Capacitor_SMD:C_0402_1005Metric","","","","","","C14445"
"C5","100n","Capacitor_SMD:C_0402_1005Metric","","","","","CL21B104KBCNNNC","C1581"
"D1,D4","Schottky","Diode_SMD:D_0603_1608Metric","","","","","TS4148 RBG","C3312582 "
"D2","LED","LED_SMD:LED_0805_2012Metric","","","","","APTD2012LSURCK","C5355441"
"D3","4.7v","Diode_SMD:D_0603_1608Metric","","","","","CZRU52C4V3","C2886070"
"Q1","SSM6L61NU,LF","0conrads:SON65P200X200X80-8N","","","","","SSM6L61NU,LF","C443653"
"R1,R3,R5,R6","10k","Resistor_SMD:R_0402_1005Metric","","","","","RMCF0805FT10K0","C22356213"
"R2,R7","1k","Resistor_SMD:R_0402_1005Metric","","","","","RC0805FR-071KL","C11702"
"R8","100k","Resistor_SMD:R_0402_1005Metric","","","","","RC0805FR-071KL","C25741"
"SW1,SW4","SW_Push_Shielded","0conrads:PTS841ESDGMPSMTRLFS","","","","","","C2689651"
"U1","ATtiny10-TS","Package_TO_SOT_SMD:SOT-23-6","","","","","ATtiny10-TS","C128438"
