Reference,Value,Footprint,JLC_MPN
BT1,Battery_Cell,0conrads:MY-2032-08,C964831 
BZ1,Buzzer,0conrads:GSC1230YB-3V4000,C255333
C2,1u,Capacitor_SMD:C_0402_1005Metric,C14445
C3,100n,Capacitor_SMD:C_0402_1005Metric,C1581
D1,LED,0conrads:XL-2810UYC,C3646949
"D3,D4",Schottky,Diode_SMD:D_0603_1608Metric,C3312582 
D5,2.7v,Diode_SMD:D_0603_1608Metric,C2886070
Q1,"SSM6L61NU,LF",0conrads:SON65P200X200X80-8N,C443653
R1,100,Resistor_SMD:R_0402_1005Metric,C25076
"R2,R6",1k,Resistor_SMD:R_0402_1005Metric,C11702
R3,100k,Resistor_SMD:R_0402_1005Metric,C25741
"R4,R5,R7",10k,Resistor_SMD:R_0402_1005Metric,C22356213
"SW1,SW2",SW_Push_Shielded,Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG,C72443
U1,ATtiny10-TS,Package_TO_SOT_SMD:SOT-23-6,C128438
