Reference,Value,Footprint,MPN,Digikey MPN,,ALT_MPN
BT1,Battery_Cell,Battery:BatteryHolder_Multicomp_BC-2001_1x2032,BH-67B-5,2057-BH-67B-5-ND,,
BZ2,Buzzer,0conrads:SMT-1341-T-HT-R,PT-1241PFQ,668-SMT-1341-T-HT-RCT-ND,,
"C1,C2,C5",100n,Capacitor_SMD:C_0805_2012Metric,CL21B104KBCNNNC,1276-1003-1-ND,,
C3,1u,Capacitor_SMD:C_0805_2012Metric,CL21B105KBFNNNE,1276-1029-1-ND,,
D2,LED,LED_SMD:LED_0805_2012Metric,APTD2012LSURCK,754-2044-1-ND,,
D3,4.7v,Diode_SMD:D_0805_2012Metric,BZY55C4V7 RBG,1801-BZY55C4V7RBGCT-ND,,
"D1,D4",Schottky,Diode_SMD:D_0805_2012Metric,TS4148 RBG,754-2044-1-ND,,
"Q1,Q2","SSM6L61NU,LF",0conrads:SON65P200X200X80-8N,"SSM6L61NU,LF",SSM6L61NULFCT-ND,,
"R1,R3,R5,R6",10k,Resistor_SMD:R_0805_2012Metric,RMCF0805FT10K0,RMCF0805FT10K0CT-ND,,
R8,100k,Resistor_SMD:R_0805_2012Metric,RC0805FR-07100KL,311-100KCRCT-ND,,
"R4,R9",0,Resistor_SMD:R_0805_2012Metric,RC0805JR-070RL,311-0.0ARCT-ND,,
"SW1,SW2",SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,KMR231NG ULC LFS,CKN10284CT-ND,,
U1,ATtiny10-TS,Package_TO_SOT_SMD:SOT-23-6,ATtiny10-TS,ATTINY10-TSHRCT-ND,,
